,office0_0_rmse,office0_1_psnr,office1_0_rmse,office1_1_psnr,office2_0_rmse,office2_1_psnr,office3_0_rmse,office3_1_psnr,office4_0_rmse,office4_1_psnr,room0_0_rmse,room0_1_psnr,room1_0_rmse,room1_1_psnr,room2_0_rmse,room2_1_psnr
random_8_normal_4,0.33,39.92,0.16,40.72,0.3,33.08,0.33,32.1,0.48,34.51,0.29,33.21,0.37,34.84,0.24,36.2
harris_16_normal_4,0.42,40.05,0.15,40.66,0.41,33.35,0.33,32.46,0.42,34.72,0.29,32.33,0.48,35.16,0.29,36.19
random_32_normal_4,0.39,39.75,0.21,40.41,0.32,32.95,0.39,31.73,0.5,34.34,0.26,32.98,0.36,34.77,0.27,35.62
harris_8_normal_4,0.33,39.8,0.13,40.74,0.33,33.49,0.3,32.58,0.47,34.92,0.24,32.85,0.44,35.22,0.22,36.45
original_map_4,0.33,39.85,0.19,40.7,0.29,32.99,0.33,32.12,0.52,34.84,0.26,33.15,0.37,34.8,0.24,36.26
original,0.51,38.33,0.26,38.81,0.27,32.07,0.31,30.12,0.56,31.67,0.34,32.21,0.36,34.0,0.31,35.24
uniform_8_random_texture_10,1.4493,35.95,1.3278,38.0,1.0082,31.27,1.0351,31.39,1.6316,30.02,0.6038,32.4,0.7764,33.65,0.7661,33.15
uniform_8_normal_4,0.32,39.9,0.16,40.77,0.3,33.0,0.37,32.03,0.48,34.62,0.23,33.23,0.36,34.8,0.27,36.24
uniform_16_normal_4,0.33,39.79,0.19,40.6,0.31,33.21,0.36,32.05,0.51,34.84,0.26,33.37,0.4,34.82,0.22,36.13
harris_32_normal_4,0.58,39.41,0.21,40.55,0.48,33.27,0.45,32.25,0.53,33.89,0.32,32.23,0.68,35.08,0.57,35.21
random_16_normal_4,0.37,39.74,0.17,40.7,0.32,33.12,0.33,31.98,0.48,34.52,0.28,33.09,0.29,34.77,0.26,36.09
uniform_32_normal_4,0.34,39.7,0.18,40.47,0.28,33.1,0.39,31.84,0.66,34.49,0.27,32.96,0.43,34.77,0.47,34.76
